Block Size,Wall Time,Speed
1024,1.168903,2299.727354
2048,0.714752,3760.966326
4096,0.472194,5692.910548
8192,0.325431,8260.301579
16384,0.247557,10858.744463
32768,0.202588,13269.089004
65536,0.186162,14439.886782
131072,0.181140,14840.224153
262144,0.178615,15050.013734
524288,0.175715,15298.399130
